#Flow Problem
param d := 0.05; 
param n := 12; 
param radius := 2.00; 
param v0 := 
1 5.00
2 5.00
3 5.00
4 5.00
5 5.00
6 5.00
7 5.00
8 5.00
9 5.00
10 5.00
11 5.00
12 5.00
;
param cap := 
1 3.14159
2 3.14159
3 3.14159
4 3.14159
5 3.14159
6 3.14159
7 3.66519
8 3.66519
9 3.66519
10 3.66519
11 3.66519
12 3.66519
;
param x0 := 
1 2.00000
2 1.85000
3 1.70000
4 1.55000
5 1.40000
6 1.25000
7 1.73205
8 1.60215
9 1.47224
10 1.34234
11 1.21244
12 1.08253
;
param y0 := 
1 0.00000
2 0.00000
3 0.00000
4 0.00000
5 0.00000
6 0.00000
7 1.00000
8 0.92500
9 0.85000
10 0.77500
11 0.70000
12 0.62500
;
