# Random Circle Problem
param d := 0.05; 
param n := 40; 
param radius := 2.00; 
param v0 := 
1 4.91
2 5.64
3 5.68
4 5.44
5 5.55
6 5.94
7 5.86
8 5.38
9 4.89
10 5.58
11 5.64
12 4.99
13 5.73
14 5.06
15 5.02
16 5.50
17 5.53
18 5.51
19 5.63
20 5.33
21 4.92
22 5.29
23 4.99
24 5.39
25 5.91
26 5.28
27 5.55
28 5.80
29 5.09
30 5.84
31 5.03
32 5.17
33 5.31
34 5.60
35 5.35
36 4.87
37 5.34
38 5.71
39 5.66
40 5.78
;
param cap := 
1 3.57282
2 3.34207
3 3.14998
4 3.47417
5 3.71596
6 4.32704
7 3.82701
8 4.24416
9 3.89492
10 5.07672
11 5.10385
12 4.34626
13 5.08044
14 4.99484
15 4.91724
16 5.19990
17 5.54033
18 6.11510
19 5.53349
20 0.26002
21 6.03058
22 0.34957
23 6.12892
24 0.01922
25 0.98782
26 0.68540
27 0.42980
28 0.96679
29 1.39867
30 1.33157
31 2.04582
32 1.77804
33 1.88207
34 1.92063
35 2.00584
36 1.84315
37 2.94221
38 2.85932
39 3.29245
40 2.96022
;
param x0 := 
1 2.00
2 1.98
3 1.90
4 1.78
5 1.62
6 1.41
7 1.18
8 0.91
9 0.62
10 0.31
11 0.00
12 -0.31
13 -0.62
14 -0.91
15 -1.18
16 -1.41
17 -1.62
18 -1.78
19 -1.90
20 -1.98
21 -2.00
22 -1.98
23 -1.90
24 -1.78
25 -1.62
26 -1.41
27 -1.18
28 -0.91
29 -0.62
30 -0.31
31 -0.00
32 0.31
33 0.62
34 0.91
35 1.18
36 1.41
37 1.62
38 1.78
39 1.90
40 1.98
;
param y0 := 
1 -0.00
2 0.31
3 0.62
4 0.91
5 1.18
6 1.41
7 1.62
8 1.78
9 1.90
10 1.98
11 2.00
12 1.98
13 1.90
14 1.78
15 1.62
16 1.41
17 1.18
18 0.91
19 0.62
20 0.31
21 0.00
22 -0.31
23 -0.62
24 -0.91
25 -1.18
26 -1.41
27 -1.62
28 -1.78
29 -1.90
30 -1.98
31 -2.00
32 -1.98
33 -1.90
34 -1.78
35 -1.62
36 -1.41
37 -1.18
38 -0.91
39 -0.62
40 -0.31
;
