# Circle Problem
param d := 0.05; 
param n := 15; 
param radius := 2.00; 
param v0 := 
1 5.00
2 5.00
3 5.00
4 5.00
5 5.00
6 5.00
7 5.00
8 5.00
9 5.00
10 5.00
11 5.00
12 5.00
13 5.00
14 5.00
15 5.00
;
param cap := 
1 3.14159
2 3.56047
3 3.97935
4 4.39823
5 4.81711
6 5.23599
7 5.65487
8 6.07375
9 0.20944
10 0.62832
11 1.04720
12 1.46608
13 1.88496
14 2.30383
15 2.72271
;
param x0 := 
1 2.00
2 1.83
3 1.34
4 0.62
5 -0.21
6 -1.00
7 -1.62
8 -1.96
9 -1.96
10 -1.62
11 -1.00
12 -0.21
13 0.62
14 1.34
15 1.83
;
param y0 := 
1 -0.00
2 0.81
3 1.49
4 1.90
5 1.99
6 1.73
7 1.18
8 0.42
9 -0.42
10 -1.18
11 -1.73
12 -1.99
13 -1.90
14 -1.49
15 -0.81
;
