# Circle Problem
param d := 0.05; 
param n := 14; 
param radius := 2.00; 
param v0 := 
1 5.00
2 5.00
3 5.00
4 5.00
5 5.00
6 5.00
7 5.00
8 5.00
9 5.00
10 5.00
11 5.00
12 5.00
13 5.00
14 5.00
;
param cap := 
1 3.14159
2 3.59039
3 4.03919
4 4.48799
5 4.93679
6 5.38559
7 5.83439
8 0.00000
9 0.44880
10 0.89760
11 1.34640
12 1.79520
13 2.24399
14 2.69279
;
param x0 := 
1 2.00
2 1.80
3 1.25
4 0.45
5 -0.45
6 -1.25
7 -1.80
8 -2.00
9 -1.80
10 -1.25
11 -0.45
12 0.45
13 1.25
14 1.80
;
param y0 := 
1 -0.00
2 0.87
3 1.56
4 1.95
5 1.95
6 1.56
7 0.87
8 0.00
9 -0.87
10 -1.56
11 -1.95
12 -1.95
13 -1.56
14 -0.87
;
