# Circle Problem
param d := 0.05; 
param n := 12; 
param radius := 2.00; 
param v0 := 
1 5.00
2 5.00
3 5.00
4 5.00
5 5.00
6 5.00
7 5.00
8 5.00
9 5.00
10 5.00
11 5.00
12 5.00
;
param cap := 
1 3.14159
2 3.66519
3 4.18879
4 4.71239
5 5.23599
6 5.75959
7 0.00000
8 0.52360
9 1.04720
10 1.57080
11 2.09440
12 2.61799
;
param x0 := 
1 2.00
2 1.73
3 1.00
4 0.00
5 -1.00
6 -1.73
7 -2.00
8 -1.73
9 -1.00
10 -0.00
11 1.00
12 1.73
;
param y0 := 
1 -0.00
2 1.00
3 1.73
4 2.00
5 1.73
6 1.00
7 0.00
8 -1.00
9 -1.73
10 -2.00
11 -1.73
12 -1.00
;
