# Circle Problem
param d := 0.05; 
param n := 18; 
param radius := 2.00; 
param v0 := 
1 5.00
2 5.00
3 5.00
4 5.00
5 5.00
6 5.00
7 5.00
8 5.00
9 5.00
10 5.00
11 5.00
12 5.00
13 5.00
14 5.00
15 5.00
16 5.00
17 5.00
18 5.00
;
param cap := 
1 3.14159
2 3.49066
3 3.83972
4 4.18879
5 4.53786
6 4.88692
7 5.23599
8 5.58505
9 5.93412
10 0.00000
11 0.34907
12 0.69813
13 1.04720
14 1.39626
15 1.74533
16 2.09440
17 2.44346
18 2.79253
;
param x0 := 
1 2.00
2 1.88
3 1.53
4 1.00
5 0.35
6 -0.35
7 -1.00
8 -1.53
9 -1.88
10 -2.00
11 -1.88
12 -1.53
13 -1.00
14 -0.35
15 0.35
16 1.00
17 1.53
18 1.88
;
param y0 := 
1 -0.00
2 0.68
3 1.29
4 1.73
5 1.97
6 1.97
7 1.73
8 1.29
9 0.68
10 0.00
11 -0.68
12 -1.29
13 -1.73
14 -1.97
15 -1.97
16 -1.73
17 -1.29
18 -0.68
;
