# Circle Problem
param d := 0.05; 
param n := 13; 
param radius := 2.00; 
param v0 := 
1 5.00
2 5.00
3 5.00
4 5.00
5 5.00
6 5.00
7 5.00
8 5.00
9 5.00
10 5.00
11 5.00
12 5.00
13 5.00
;
param cap := 
1 3.14159
2 3.62491
3 4.10824
4 4.59156
5 5.07488
6 5.55820
7 6.04152
8 0.24166
9 0.72498
10 1.20830
11 1.69163
12 2.17495
13 2.65827
;
param x0 := 
1 2.00
2 1.77
3 1.14
4 0.24
5 -0.71
6 -1.50
7 -1.94
8 -1.94
9 -1.50
10 -0.71
11 0.24
12 1.14
13 1.77
;
param y0 := 
1 -0.00
2 0.93
3 1.65
4 1.99
5 1.87
6 1.33
7 0.48
8 -0.48
9 -1.33
10 -1.87
11 -1.99
12 -1.65
13 -0.93
;
